by,date_published,description,time,title
Redacción,2024/10/13,"La cuenta regresiva para las elecciones internas de Cambio Democrático está en marcha,,En este sentido, el expresidente y fundador del partido, Ricardo Martinelli, recordó que Henríquez es la única persona que puede liderar este colectivo.,""Él está pensando qué hay para los demás, para todos los miembros del CD,,, expuso Martinelli.,Martinelli volvió a reafirmar este domingo su apoyo a la nómina de Henríquez, de cara a los comicios internos del próximo 27 de octubre.,Este domingo, el exministro recorrió Darién, donde el 70% de los convencionales de esta provincia y los de la comarca dijeron presente.,Henríquez destacó que ni siquiera las amenazas de la alcaldesa de,,,,,El político ha recorrido otros puntos del país, destacando el acercamiento con los pueblos originarios.,El excanciller ha denunciado en los últimos días una campaña sucia en su contra, que incluye montajes de voz, inteligencia artificial y noticias falsas o viejas.,Henríquez, además de Martinelli, también cuenta con el apoyo de otras figuras entre ellas la mayoría de los diputados actuales de CD.,",20:30:19,Roberto Henríquez prioriza beneficio colectivo y rechaza el 'qué hay pa' mí'
Francisco Rodríguez Morán,2024/10/16,"la cantidad de diputados asignados a los circuitos electorales tras las elecciones del pasado 5 mayo.,Osman Valdés, director Nacional de Organización Electoral contó a Panamá América sobre el Plan General De Elecciones (Plagel),,Valdés agregó que este anteproyecto podría estar listo a finales de octubre.,y el circuito 13-4 (La Chorrera) donde la cantidad de habitantes ha aumentado indicó Valdés.,Actualmente, el 8-2 tiene asignadas 7 curules; el circuito 8-5 tiene 3 diputados; el circuito 8-6 escoge a 4 diputados; el circuito 13-1 elige a 3 diputados y el 13-4 tres diputados.,,,,,La participación en 1994, en las primeras elecciones tras la dictadura en 1989 fue del 73.7%. En 1999, votó el 76.2% de los electores; en 2004 el 76.9%; en 2009 el 74 %; en 2014 el 76.8%; en 2019 el 73% y en 2024, 77.7%.',La Comisión Nacional de Reformas Electorales (CNRE) deberá instalarse en enero del 2025, internamente se está trabajando para presentar una propuesta, expresó Valdés.,Uno de los puntos que adelantó es que se está analizando la adjudicación de curules en los circuitos plurinominales.,También se estudiará las postulaciones múltiples, así como la violencia política.,,El periodo de recolección de firmas de los independientes a juicio de los partidos políticos les da cierta ventaja, ya que son dos años antes del proceso electoral, detalló el director de Plagel.,Otro de los temas a evaluar es el tema del financiamiento electoral, acotó el funcionario.",00:00:00,Proponen redefinir curules en varios circuitos
Francisco Paz,2024/10/16,"visitó Panamá para conversar con las autoridades de relaciones exteriores panameñas.,Con esta reunión se desempolva el Mecanismo de Consultas Políticas entre ambas naciones, que desde 2015 no se realizaba.,""Creemos que no podemos dejar pasar otros nueve años para hacer esas consultas políticas. Debemos llevarlas adelante de manera más rutinaria y coordinar posiciones de manera que nuestras economías avancen en la misma dirección"", dijo con tono firme Vergara, en entrevista concedida a Panamá América.,Ahora, el tema Venezuela está latente y para Vergara es primordial que gobiernos con ideas similares como Argentina y Panamá trabajen en sanear a los países de la región de esos vientos de autoritarismo.,""Hay países que han optado por llevar adelante un modelo populista contrario a los principios democráticos que deben guiar a esta región. Ya no es solamente un asunto de ideologías, sino de generar consensos entre países democráticos de la región"", planteó el embajador.,,,,Destacó que el presidente José Raúl Mulino y su canciller, Javier Martínez- Acha, dejaron bien claro, desde el primer minuto, cuáles eran las directrices por las cuales hay que conducir a la región y en eso son aliados.,""Nosotros estamos por la democracia y sobretodo por el respeto de la voluntad popular"", resaltó.,Que se respete la voluntad popular y se pueda llegar a una transición democrático, respetando lo que la gente votó, es la posición del subsecretario de Asuntos Americanos argentino.,,,También, la solidaridad del gobierno suramericano con el tema migratorio que afecta a Panamá.,Vergara afirmó que la migración irregular que vive Panamá tiene raíces económicas y, sobre todo, políticas.,""Porque cuando la política no da respuesta a la gente y la fuerza a emigrar las consecuencias son desastrosas"".,Argentina y Panamá tienen que apuntar hacia una liberalización del comercio y entrelazar sus economías que son complementarias, precisó el diplomático argentino.,""Argentina es un gran exportador de alimentos y Panamá es un país líder en servicios financieros, por citar solo un ejemplo"", consideró.,Reconoció la labor que, en ese sentido, realiza la embajadora argentina en Panamá, Sandra Pitta.",00:00:00,Vergara: 'Tenemos que demostrar que somos  más los países democráticos'
"Redacción,",2024/10/17,"El presidente José Raúl Mulino indicó este jueves en el conversatorio semanal que él no tiene la facultad de sacar a Panamá del Parlamento Centroamericano (Parlacen).,“En lo personal no le veo al Parlacen ninguna utilidad, pero tampoco puedo sacar al país del Parlacen, es una posición un poco contradictoria, pero no la puedo sacar”, sostuvo Mulino.,Según el mandatario, Panamá ya hizo el intento de salir del Parlacen, sin embargo la Corte Suprema de Justicia falló que no era posible.,“No me atrevo a aventurarme hoy a decir que hay que hacer, porque además ahí hay diputados ya elegidos de acuerdo a las reglas electorales del momento”, expresó.,La ventana de oportunidad que el mandatario ve para ir disminuyendo el Parlacen respecto a Panamá es de frente a las elecciones de 2029. Esto se lograría a través de un grado de consenso para que los partidos no postulen candidatos y se quede el Parlacen sin representación panameña.,",09:59:46,"Mulino no le ve utilidad al Parlacen, pero tampoco puede sacar al país del organismo"
"Redacción,",2024/10/17,"La presidenta de la Asamblea Nacional,,, justificó el aumento de,que se le asignó al presupuesto de la institución, detallando que hay gastos de mantenimiento y planillas que atender.,Castañeda alegó que por más que quisiera, la planilla de la Asamblea Nacional no puede ser inferior, porque,y no puede hacer más allá de lo que la ley le permite.,Destacó que ella, en su momento, bajó la,, al tiempo que, reconoció que es alto el costo de la planilla de la entidad.,No obstante, Castañeda mencionó las carencias estructurales que tiene la Asamblea, como el área de prensa que se está cayendo, además, el edificio nuevo está “enfermo”, por lo que tienen que destinar una partida para inversión, de lo contrario lo van a perder.,Dijo estar segura que el Ejecutivo está consciente de la realidad de cada institución y de cada órgano del Estado, por eso les interesa ver que el presupuesto responda las necesidades reales del país y que mejore la economía en donde se tenga igualdad de oportunidades.,Sobre la aprobación del presupuesto de,, la presidenta de la Asamblea,  espera que la,diseñe la estrategia para ver si en el poco tiempo que tienen se puede abordar las distintas instituciones.,,,,Explicó que la idea del presupuesto es la planificación del gasto versus los ingresos, pero también saber qué van a hacer con esos recursos en las distintas comunidades.,“Sí existe de parte de la Asamblea el compromiso de poder evaluar el presupuesto y esperan que antes del,puedan tener una definición”, expresó.",14:03:04,Castañeda justificó el aumento de $10 millones al presupuesto de la Asamblea
Redacción,2024/10/17,"El expresidente de la República,,solicitó a la Junta Directiva del Parlamento Centroamericano (Parlacen)  su juramentación como diputado de este organismo.,En una carta enviada al Parlacen,  el expresidente recordó que por derecho propio le corresponde asumir un escaño como diputado, en el periodo inmediato a la culminación de su mandato presidencial.,""Les solicito respetuosamente que tomen las medidas pertinentes para mi correspondiente juramentación,"", destacó.,Cortizo, y su vicepresidente José Gabriel Carrizo, estaban agendados para juramentarse a mediados de agosto pasado pero no completaron el proceso.,Este jueves, el abogado Guillermo Cochez presentó una denuncia criminal contra Cortizo por la supuesta comisión del delito de peculado, por el tema de las cirugías bariátricas que costeó con la partida discrecional.,El procurador Javier Caraballo dijo que contra el ex vicepresidente de la República, José Gabriel Carrizo, se han interpuesto dos denuncias, sin embargo, primero debe aclarar si el Ministerio Público tiene competencia o no para investigarlo.,,,,Para ello pidieron una certificación al Parlacen, de la cual todavía no han recibido respuestas.,""Son dos denuncias por hechos diferentes,,Una de las denuncias detalla que Carrizo supuestamente utilizó la aeronave HP-20A, marca Cessna, modelo Grand Caravan tipo 208B, propiedad del Estado y administrada por la Autoridad de Aeronáutica Civil, para realizar vuelos con fines políticos y personales. Además, se hace referencia a que supuestamente se habría registrado el consumo de bebidas alcohólicas.",17:22:55,"Cortizo pide juramentarse en el Parlacen; Carrizo, con dos denuncias"
Ciudad de Panamá,2024/09/19,"El presidente de Panamá,,, anunció este jueves que viajará el sábado próximo a Nueva York para participar en la,, en donde abordará en su discurso ""tres temas"" como son la crisis venezolana, la migración por el Darién y la situación del país frente a las listas de paraísos fiscales, consideradas injustas por el mandatario.,""No voy a echar un recurso de retórica y de quiénes fueron, cuando la crearon, para qué se creó y de dónde nació las Naciones Unidas, eso todo el mundo lo sabe, ahí voy a un foro de denuncia y un foro de planteamiento de nuestra posición nacional"", expresó el mandatario durante su comparecencia semanal.,El presidente panameño detalló que con motivo de la Asamblea de la ONU y su participación prevista el próximo miércoles, también acudirá a foros empresariales, bancarios y de inversionistas, así como reuniones bilaterales con representantes de algunos países que han solicitado ese encuentro.,Mulino recordó, respecto al tema migratorio,,en la frontera, ya que ""Panamá está siendo receptora de un problema de magnitud internacional todos los días"".,""La crisis humanitaria de nuestra frontera nos está causando costos económicos altísimos, pero también costos ambientales y en vidas humanas, por lo que ahí se vive que es una tragedia humanitaria en todo sentido"", precisó.,,,,Las autoridades de Panamá estiman que en 2024 unos,atravesarán esta selva, una reducción del 38 % frente al récord histórico de,que cruzaron el año pasado, y que vinculan con las nuevas políticas de control de migración implementadas por el nuevo Ejecutivo, cuyo mandato comenzó el pasado 1 de julio.,Mulino ligó el tema migratorio a la crisis que se vive en Venezuela, otro de los temas que tratará durante su intervención y en reuniones bilaterales con algunos presidentes, en el marco de la Asamblea de la ONU.,El presidente panameño detalló que ""el principal alimento hacia el problema (migratorio) es la crisis venezolana"".,Explicó que aunque se ha reducido el flujo, los venezolanos siguen siendo el ""67% de los (migrantes) que van entrando"" a Panamá por la selva del Darién, con un aumento además de otras nacionalidades como la china y nepalí.,""La verdad que este es un tema que esperamos se pueda definir de aquí a lo que resta del año, no digo solucionar, sino definir ya con claridad"", puntualizó.,,Mulino dejó claro que también utilizará la Asamblea de Naciones Unidas para tratar el tema de las,, las cuales reiteró que son una ""injusticia"" para el país centroamericano.,""Utilizaré esa tribuna para explicar claramente la injusticia que se está cometiendo contra Panamá y explicar por qué cooperamos y dónde estamos cooperando. No es cierto que Panamá no sea un país cooperador"" subrayó.,Mulino destacó que Panamá cuenta con todas las herramientas legales e internacionales para,, que lo solicite, ""sobre todo en temas delictuales"".,""Todos los funcionarios que tienen que ver con esto, tienen que cooperar en función a los cánones que son Ley de la República (de Panamá) o reglamentos que hemos convenido con esos institutos a nivel mundial"", acotó.,Mulino advirtió la semana pasada que tomaría medidas contra los países que incluyan a la nación centroamericana en listas “discriminatorias” de paraísos fiscales, como no darles contratos públicos ni “licitaciones importantes”: “No tendrán derecho a nada en Panamá”.,El pasado octubre, Panamá salió, por segunda vez en menos de una década, de la lista gris del,, en la que aparecen los países que presentan deficiencias en la lucha contra el blanqueo de capitales y la financiación del terrorismo, pero aún permanece en la lista negra de la Unión Europea (UE) de paraísos fiscales.",12:45:08,"Mulino abordará crisis venezolana, migración y listas discriminatorias en la ONU"
Francisco Paz,2024/09/20,"La Comisión Nacional de Reformas Electorales (CNRE) se sentará desde el próximo año a analizar los cambios al proceso electoral panameño, en el que el tema de nuevas tecnologías estarán dentro de la agenda de discusión.,Herramientas tecnológicas como un,podrían emplearse en futuros procesos tanto a nivel interno de los partidos políticos como en las elecciones generales.,El magistrado presidente del,dijo que le gusta la idea de contar con un padrón digital.,""Salir de los cuadernos grandes que tenemos y poner la huella digital y todo lo demás a un cuaderno digital en donde la persona se enrola con su documento de identidad, tenemos certeza de quién es y va y ejerce su voto"", describió.,Otra tecnología que llamó la atención del,que no es un tema ajeno a discusiones que se han tenido a lo interno del Tribunal Electoral con anterioridad.,""Si yo puedo tener el,con escrutinio electrónico vamos a tener resultados rápidos"", dijo Juncá.,,,,Todas estas nuevas tecnologías están sujetas a la confianza que los electores puedan tener con su aplicación.,Al respecto, Juncá señaló que se,en el que se podría utilizar un 25%, para manejar un porcentaje determinado, de los centros de votación como muestra.,Otros escenarios en los que estas tecnologías podrían aplicarse para que vayan generando confianza son los procesos internos de los partidos políticos, como renovación de juntas directivas y elecciones de otros puestos de dirección, así como los referentes a las candidaturas de libre postulación.,""Hemos recibido muchas solicitudes de,. Yo pienso que una forma de sensibilización a la tecnología podría ser realizar estos procesos de sociedad civil con medios tecnológicos, primero"", declaró.,A pesar de ser una,los electores panameños son reacios al uso de tecnología al momento de escoger a sus autoridades nacionales, cada cinco años.,,Como muestra está la votación electrónica que para las últimas elecciones fueron suspendidas, una semana antes de estas.",00:00:00,Padrón digital podría abrirse paso en el país
,2024/09/20,"El presidente,,, considera que la comunidad internacional debería actuar con un nivel más alto de sanciones y de aislamiento internacional contra,Durante una entrevista para,, Mulino indicó que,apuntan a una dirección correcta, sin embargo, la voluntad política de,no se compagina a la realiza política interna, a la que está sometiendo su pueblo Venezuela.,Sobre el asilo otorgado por España al líder opositor,, dijo no comprender sus circunstancias, pero definitivamente su salida de Venezuela es un factor que señala un antes y un después.,“Yo soy un poco escéptico del gobierno en el exilio, no conozco ninguno en la historia reciente que haya prosperado, y ya Venezuela pasó una situación más o menos similar con Juan Guaidó, aunque el señor Edmundo tiene toda la legitimidad del mundo, pero es muy difícil maniobrar desde el exterior”, subrayó.,Agregó que Panamá siempre estará en la esquina de,en la lucha contra la dictadura venezolana.,El mandatario señaló que está muy preocupado de que el flujo de venezolanos se incremente, si la solución no llega a Venezuela.,,,,Según Mulino, la repatriación se irá haciendo con los Estados Unidos tal y como lo tienen planeado y agregó que evidentemente sí hay una crisis profundísima en Venezuela  que afecta y golpea, pero Panamá no va ceder en su esfuerzo de lograr el cierre completo de esa frontera.,“Nosotros no podemos tener ahí una extensión de la frontera norteamericana dentro de nuestro país”, expresó.,En cuanto a las,Mulino dijo que Panamá merece respeto  internacional y rechazó que pongan al país en ese tipo de listas con países que están en otra condición muy distinta a la de Panamá.,“Panamá es un país que coopera, sin embargo, no es justo que un país que coopera, entre ellos con la,en temas de lavado de dinero, control de terrorismo, evasiones, etc., sea catalogado de esta manera por el Parlamento Europeo, que no necesariamente son los que dirigen la política internacional en sus países”, enfatizó.,Rechazó enérgicamente y reiteró que el país que tenga a Panamá en esas  listas, no tiene derecho a participar en ningún acto público, ni licitaciones ni contratos.,,Respecto al expresidente,, explicó que está en la embajada de,asilado, valiéndose de un derecho bilateral que existe en tratados internacionales.,“Eso no tiene nada que ver con la condición de régimen de Nicaragua que sin duda alguna es una dictadura política reprochable desde todo punto de vista”, añadió.",16:31:59,Mulino pide a la comunidad internacional más sanciones y aislamiento contra Venezuela
Francisco Rodríguez Morán,2024/09/20,"El,registra un total de 619,474 miembros detalló el informe de la,, del jueves 19 de septiembre de 2024.,Esto indica que el PRD ha perdido 4,147 adherentes en las últimas dos semanas. En el informe del pasado 5 de septiembre el colectivo político mantenía un total de 623,621 miembros.,Los informes de la DNOE constatan que en un periodo de un año el PRD 96,005 integrantes.,Mientras,tiene 273,800 inscritos.,, 270,006;,, 228,827; y el,, 84,546 adherentes.,Por su parte, el,refleja un total de 35,614 inscritos;,, 25,710 y el,, 21,928 copartidarios.,,,,De los colectivos en formación, el,posee 31,291 afiliados.,La agrupación,contabiliza 5,372 adherentes.,Según las estadísticas de la DNOE un total de 1,596,818 panameños aparecen inscritos en los distintos partidos políticos legalmente constituidos y en formación.,El Registro Electoral es de 3,085,321; mientras que el 51.7 % de ciudadanos está afiliado a colectivos políticos y el 48.3 %  no pertenece a ninguno.",16:39:02,PRD pierde más de 4 mil miembros en dos semanas
Redacción,2024/09/23,"La exdiputada Yanibel Ábrego trata de endosar a su nómina un falso apoyo por parte del presidente de la República, José Raúl Mulino, a pesar de que el mandatario ha dejado claro que no se entrometerá en los asuntos internos de los partidos políticos.,Con su estrategia, Ábrego intenta obtener desesperadamente un respaldo de peso, dado que su rival por la presidencia del partido Cambio Democrático, Roberto Henríquez, sí cuenta con el total apoyo del expresidente Ricardo Martinelli, fundador de este colectivo.,Meses atrás, el presidente Mulino anticipó que no formará parte de las disputas que se presenten a lo interno de los partidos.,""Ante varios mensajes, aclaro que mi Gobierno no se meterá en las disputas democráticas de los partidos ni mucho menos nombraré simpatizantes de ninguna tendencia. El que quiera correr que busque sus votos"", subrayó Mulino.,Estas palabras las reafirmó Lourdes Castillo, directiva de Realizando Metas, quien dijo que, en una reunión, el presidente Mulino recalcó que no tenía interés en meter las manos en las elecciones del CD.,""En la reunión que tuvo el presidente con la junta directiva de Realizando Metas nos dejó bien claro que no se iba a inmiscuir en las elecciones que tengan que ver con otro partido. Él está enfocado en llevar este país hacia adelante, él nos lo aclaró"", comentó.,,,,Cambio Democrático realizará el próximo 27 de octubre una convención nacional, en la que renovará su junta directiva. Ambas nóminas están conformadas por 15 cargos.,El expresidente Ricardo Martinelli ha expresado públicamente su respaldo a Henríquez, a quien no dudó en levantarle el brazo en señal de triunfo mientras expresaba la frase: ""este es el hombre"".,""Conozco a Roberto Henríquez desde hace mucho tiempo y lo estimo demasiado. Él asumirá ahora el rol de ser el nuevo presidente de Cambio Democrático, partido que fundé con cariño hace muchos años. Quiero pedirles a todos los convencionales que voten únicamente por Roberto Henríquez y toda su nómina y directiva. Él liderando Cambio Democrático y nosotros en Realizando Metas, junto con el Gobierno, vamos a hacer parte para que todos tengan más trabajo y chen chen en el bolsillo"", expuso Martinelli.,Henríquez, por su parte, agradeció el apoyo de Martinelli, cuyo talento y liderazgo comprobado destacó. En su nómina lo acompañan Mario Martinelli (vicepresidente), Orlando Carrasquilla (vicepresidente), Giselle Burillo (secretaria general), Didiano Pinilla (subsecretario general) y Mariela Vega (secretaria de organización).,También forman parte de la nómina, Nicolás Rivera (subsecretario de organización), Julio de la Guardia (secretario de Finanzas), Pedro Ríos (subsecretario de Finanzas), Yesica Romero (directora), Rosalia Ellis (directora), Génesis Arjona (directora), José César Caicedo (director), Massiel de León (directora) y Luz González (directora).,",00:00:00,"Yanibel Ábrego miente, no tiene el apoyo de Mulino"
"Redacción,",2024/09/23,"El presidente de la República,,, participó este lunes como uno de los oradores en la sesión plenaria de la,, donde se comprometió a respaldar las reformas que aseguren el futuro de las nuevas generaciones, entre ellas la adopción del,“Estos documentos contienen el ideal para el bienestar de la humanidad a largo plazo, visualizando a las generaciones salientes como depositarias de un legado para las generaciones venideras.  Estas generaciones, especialmente la juventud, tienen el derecho de disfrutar de un mundo mejor y contar con las herramientas necesarias para enfrentar los desafíos futuros”, señaló el Presidente Mulino en su discurso.,Sin embargo, el presidente panameño alertó en la,se ha ralentizado. “Los conflictos actuales están infligiendo sufrimiento. La pobreza y el hambre alcanzan niveles críticos en muchos países, mientras que los Objetivos de Desarrollo Sostenible parecen cada vez más lejanos. La inequidad, la inseguridad y la violencia se incrementan cada día, mientras que el acceso a educación de calidad ha quedado rezagado. Además, el creciente temor al uso de armamento nuclear, derivado de los conflictos abiertos, añade una preocupación más.,También señaló que la crisis climática se acelera sin que se vean resultados significativos.,A pesar de ello, Mulino destacó que Panamá seguirá aportando su granito de arena al ser uno de los siete países con carbono negativo y continuará adelante. “Somos optimistas al esperar que, durante la,, encontraremos fórmulas para mejorar las condiciones sociales globales, acelerar el avance de la Agenda 2030 y fortalecer la cooperación internacional para las generaciones futuras”.,Por ello, el mandatario panameño advirtió que las decisiones que se tomen o se dejen de tomar hoy, “pueden hacer que retrocedamos aún más o que avancemos hacia un futuro más verde, mejor y más seguro”.,,,,Mulino destacó que la generación actual no debe heredar a las futuras generaciones desigualdad, injusticia, discriminación, misoginia y racismo en sus nuevas formas. “Estas actitudes deterioran la buena fe y la confianza que la humanidad ha logrado construir, y son fomentadas por el populismo y el extremismo rampante”.,Resaltó que la Cumbre del Futuro, con la participación de todos líderes mundiales, es una oportunidad de oro para “levantar nuestra voz reafirmando el compromiso con el fortalecimiento del sistema multilateral” en temas tan importantes como el desarrollo sostenible y la financiación para el desarrollo, la paz y la seguridad, la ciencia, tecnología y la innovación, la cooperación digital, la juventud y las generaciones futuras, y la transformación de la gobernanza global.,Por ello, Mulino aplaudió las propuestas presentadas que buscan lograr una mejor representación política, una transformación de la educación, una formación profesional y un aprendizaje permanente para nuestra juventud. “La creación y establecimiento de un,, así como la designación de un Enviado Especial de las Naciones Unidas que garantice que las decisiones presupuestarias y políticas consideren las repercusiones para las generaciones futuras, es imperativo”, planteó el Presidente Panameño.,En Panamá, el,de la población tiene entre,, lo que indica un gran número de personas en edad laboral, con una proporción significativa de jóvenes entre ellos.,Cabe mencionar que la Cumbre del Futuro se desarrolla un día antes de la,, en la ciudad de Nueva York, Estados Unidos, en donde participan activamente los jefes de Estados.,",12:20:21,Mulino aboga por un futuro verde y más seguro para las nuevas generaciones
"Redacción,",2024/09/23,"El presidente de la República,,, sostuvo un conversatorio con la directiva del,, una organización empresarial estadounidense, donde anunció que llevará adelante una campaña para defender a Panamá de las listas fiscales discriminatorias por considerarlas “denigrantes e injustas”.,De acuerdo con un comunicado de Presidencia, este fue el primer evento de su gira por Nueva York, donde el mandatario Mulino expuso su posición de defender a Panamá afirmando que el país no aplica dentro del concepto de “paraíso fiscal”.,Mulino señaló que algunos países de la,son los principales opositores a que Panamá salga de estas listas discriminatorias. Indicó que estas listas han causado un impacto negativo sobre Panamá.,“Acabaron nuestro sistema financiero. El sistema bancario se ha limitado mucho por todas las exigencias de cumplimiento que implican la cantidad de acuerdos, decretos y toda la normativa internacional que nos han impuesto”, resaltó el presidente.,El mandatario reiteró que ha tomado la decisión de que los países que mantengan a Panamá en estas listas discriminatorias no podrán hacer negocios con Panamá.  “El país que nos tenga en listas o participe de grupos políticos que nos mantengan en listas será excluido de cualquier posibilidad de hacer negocios en Panamá. Así de fácil. Ninguna licitación, ningún contrato, ninguna asesoría de ningún tipo”, indicó.,Mulino estuvo acompañado por la presidenta del Consejo de las Américas,,, y otros directivos y empresarios que participan activamente de esta agrupación empresarial con sede en Nueva York.,,,,El presidente Mulino también se refirió a sus planes de inversión, a pesar de la deteriorada situación de las finanzas públicas con que recibió el gobierno. Dijo que se,, “pero lo que es inversión es una prioridad para mí, sobre todo porque hay proyectos que estamos terminando o rescatando como hemos dicho”.,",16:00:43,Mulino anuncia fuertes medidas contra las listas discriminatorias
"Redacción,",2024/09/24,"El presidente de la República,,, participó hoy en la inauguración de la,, donde dará mañana, miércoles, su primer discurso como mandatario de Panamá.,A su llegada hoy a la sede de la ONU en Nueva York, Mulino fue recibido en un acto protocolar por el secretario general de este organismo que aglutina a 143 países, António Guterres; la secretaria general adjunta, Amina J. Mohammed; y Earle Courtenay, director ejecutivo.,Tras ello, Mulino participó de la inauguración de la Asamblea General de la ONU, una cumbre de jefes de Estados que se extiende hasta mañana y que tiene como objetivo principal acelerar el progreso hacia los,En horas de la tarde de hoy Mulino participará en el,,En tanto, mañana sostendrá una reunión con el presidente de,y asistirá al Consejo de Seguridad-mantenimiento de la Paz.,También, se reunirá con el primer ministro de Grecia,,,,,",12:29:40,"Mulino participó en la inauguración de la Asamblea General de la ONU, mañana dará su discurso"
"Redacción,",2024/09/24,"Dar pasos en firme hacia una estrategia conjunta contra la migración ilegal por Darién, acordaron el presidente de Panamá,,, y su homólogo colombiano,,, en un encuentro al margen de la Asamblea General de la ONU, en Nueva York.,Ambos mandatarios coincidieron en su interés por agendar una reunión trilateral que incluya a Estados Unidos, debido a que el problema de la migración ilegal tiene como destino el país norteamericano.,Mulino reiteró en el encuentro que este problema, cuyo origen es ajeno a ambos países, le está causando a Panamá,, además de que es una tragedia humana que incluye a niños que han perdido a sus padres en la travesía por la selva darienita.,Por su parte, el presidente,propuso definir tres rutas para desincentivar el paso de migrantes por otras partes que no pueden ser controladas.,En la reunión participaron el canciller panameño, Javier Martínez-Acha; el ministro de Seguridad, Frank Ábrego; y el ministro de Comercio, Julio Moltó. Por el lado de Colombia, también participó el canciller, Luis Murillo.",14:02:47,Mulino y Petro avanzan en medidas contra la migración ilegal
"Redacción,",2024/09/25,"El presidente de Panamá,,, se reunió con El primer ministro de Grecia, Kiriakos Mitsotakis junto al presidente de Panamá, José Raúl Mulino. Foto: Cortesía, con quien habló sobre los proyectos del Canal de Panamá, la industria marítima, las listas discriminatorias y la situación política de Venezuela.,El presidente Mulino agradeció a Mitsotakis porque Grecia no tiene a Panamá en listas discriminatorias. Tras ello, Mitsotakis manifestó que es “inmerecido” que Panamá sea incluida en listas fiscales.,Ambos jefes de Estado conversaron sobre las facilidades que ofrece el Canal de Panamá al mundo marítimo, así como los proyectos de esta ruta para mantenerse competitiva.,Mitsotakis dijo que el proyecto de su gobierno es,La reunión permitió tratar el tema de la migración ilegal por Darién y el impacto de la crisis de Venezuela en la región y otras partes del mundo.,",13:52:11,Grecia califica de 'inmerecido' que Panamá esté en listas discriminatorias
"Redacción,",2024/09/25,"Los presidentes de Panamá,,y de Ucrania,,, sostuvieron hoy una reunión bilateral al margen del conflicto bélico que enfrenta la nación de Europa Oriental, en la que acordaron estrechar los lazos de cooperación, comercio y diplomáticos.,En el encuentro, que tuvo lugar en la sede de la,en Nueva York, Zelenski acordó con Mulino abrir en el,una embajada en Panamá, la cual le serviría como conexión con el resto de Latinoamérica, tanto en el aspecto diplomático como comercial.,Tras dar una breve explicación del conflicto que enfrenta Ucrania, Zelenski también le propuso a Mulino reforzar el programa de cooperación para brindarle a Panamá asistencia técnica en el sector agroindustrial y otros que se puedan identificar.,Por su parte, Mulino le ofreció apoyo a Zelenski en el ámbito internacional, sobre todo ahora que Panamá es miembro del,,También elogió al presidente de Ucrania por tener espacio en su agenda para pronunciarse por la crisis política de Venezuela.,Ante la Asamblea General de la ONU, Zelenski habló de una fórmula de paz con diez puntos principales para recuperar la estabilidad y la paz en Ucrania. Uno de los puntos es la exigencia de una retirada completa de las tropas rusas de Ucrania.,,,",14:26:41,Ucrania abrirá embajada en Panamá en 2025
Redacción,2024/10/13,"La cuenta regresiva para las elecciones internas de Cambio Democrático está en marcha,,En este sentido, el expresidente y fundador del partido, Ricardo Martinelli, recordó que Henríquez es la única persona que puede liderar este colectivo.,""Él está pensando qué hay para los demás, para todos los miembros del CD,,, expuso Martinelli.,Martinelli volvió a reafirmar este domingo su apoyo a la nómina de Henríquez, de cara a los comicios internos del próximo 27 de octubre.,Este domingo, el exministro recorrió Darién, donde el 70% de los convencionales de esta provincia y los de la comarca dijeron presente.,Henríquez destacó que ni siquiera las amenazas de la alcaldesa de,,,,,El político ha recorrido otros puntos del país, destacando el acercamiento con los pueblos originarios.,El excanciller ha denunciado en los últimos días una campaña sucia en su contra, que incluye montajes de voz, inteligencia artificial y noticias falsas o viejas.,Henríquez, además de Martinelli, también cuenta con el apoyo de otras figuras entre ellas la mayoría de los diputados actuales de CD.,",20:30:19,Roberto Henríquez prioriza beneficio colectivo y rechaza el 'qué hay pa' mí'
Francisco Rodríguez Morán,2024/10/16,"la cantidad de diputados asignados a los circuitos electorales tras las elecciones del pasado 5 mayo.,Osman Valdés, director Nacional de Organización Electoral contó a Panamá América sobre el Plan General De Elecciones (Plagel),,Valdés agregó que este anteproyecto podría estar listo a finales de octubre.,y el circuito 13-4 (La Chorrera) donde la cantidad de habitantes ha aumentado indicó Valdés.,Actualmente, el 8-2 tiene asignadas 7 curules; el circuito 8-5 tiene 3 diputados; el circuito 8-6 escoge a 4 diputados; el circuito 13-1 elige a 3 diputados y el 13-4 tres diputados.,,,,,La participación en 1994, en las primeras elecciones tras la dictadura en 1989 fue del 73.7%. En 1999, votó el 76.2% de los electores; en 2004 el 76.9%; en 2009 el 74 %; en 2014 el 76.8%; en 2019 el 73% y en 2024, 77.7%.',La Comisión Nacional de Reformas Electorales (CNRE) deberá instalarse en enero del 2025, internamente se está trabajando para presentar una propuesta, expresó Valdés.,Uno de los puntos que adelantó es que se está analizando la adjudicación de curules en los circuitos plurinominales.,También se estudiará las postulaciones múltiples, así como la violencia política.,,El periodo de recolección de firmas de los independientes a juicio de los partidos políticos les da cierta ventaja, ya que son dos años antes del proceso electoral, detalló el director de Plagel.,Otro de los temas a evaluar es el tema del financiamiento electoral, acotó el funcionario.",00:00:00,Proponen redefinir curules en varios circuitos
